constraint,layer,scheme,corpus,n_rollouts_used,n_rollouts,n_rollouts_dropped,n_defined,auroc_raw,auroc,sign,null_global_mean,null_global_p95,p_global,null_task_mean,null_task_p95,p_task,degenerate_flag
emb_temp,23,rollout_max,success_ever,300,300,0,300,0.347499,0.652501,-,0.526629,0.564245,0.000999,0.534423,0.581528,0.000999,False
emb_temp,23,rollout_mean,success_ever,300,300,0,300,0.420671,0.579329,-,0.526526,0.566887,0.01998,0.524303,0.55897,0.012987,False
emb_temp,24,A,success_ever,300,300,0,155700,0.42513,0.57487,-,0.5107,0.526072,0.000999,0.514808,0.532715,0.000999,False
emb_temp,24,B,success_ever,300,300,0,46800,0.446484,0.553516,-,0.519611,0.548699,0.033966,0.518008,0.544631,0.017982,False
emb_temp,24,rollout_max,success_ever,300,300,0,300,0.333527,0.666473,-,0.526463,0.564513,0.000999,0.535359,0.581797,0.000999,False
emb_temp,24,rollout_mean,success_ever,300,300,0,300,0.416775,0.583225,-,0.526554,0.566573,0.015984,0.52435,0.559368,0.008991,False
emb_temp,25,A,success_ever,300,300,0,155700,0.422495,0.577505,-,0.510703,0.525909,0.000999,0.51569,0.533695,0.000999,False
emb_temp,25,B,success_ever,300,300,0,46800,0.443182,0.556818,-,0.519594,0.548446,0.02997,0.517964,0.544411,0.011988,False
emb_temp,25,rollout_max,success_ever,300,300,0,300,0.331199,0.668801,-,0.526403,0.564417,0.000999,0.536836,0.58318,0.000999,False
emb_temp,25,rollout_mean,success_ever,300,300,0,300,0.414625,0.585375,-,0.526539,0.567014,0.00999,0.524409,0.559673,0.007992,False
emb_temp,26,A,success_ever,300,300,0,155700,0.422215,0.577785,-,0.510714,0.525567,0.000999,0.515404,0.533463,0.000999,False
emb_temp,26,B,success_ever,300,300,0,46800,0.443726,0.556274,-,0.519625,0.54904,0.032967,0.517993,0.545338,0.012987,False
emb_temp,26,rollout_max,success_ever,300,300,0,300,0.334602,0.665398,-,0.526503,0.56433,0.000999,0.533972,0.578886,0.000999,False
emb_temp,26,rollout_mean,success_ever,300,300,0,300,0.416372,0.583628,-,0.526581,0.567014,0.012987,0.524376,0.559876,0.007992,False
emb_temp,27,A,success_ever,300,300,0,155700,0.420952,0.579048,-,0.510738,0.525759,0.000999,0.515243,0.533787,0.000999,False
emb_temp,27,B,success_ever,300,300,0,46800,0.44332,0.55668,-,0.519564,0.549075,0.031968,0.518042,0.545211,0.013986,False
emb_temp,27,rollout_max,success_ever,300,300,0,300,0.334513,0.665487,-,0.526303,0.565102,0.000999,0.531192,0.573604,0.000999,False
emb_temp,27,rollout_mean,success_ever,300,300,0,300,0.417088,0.582912,-,0.526513,0.566918,0.014985,0.524293,0.559005,0.007992,False
emb_temp,28,A,success_ever,300,300,0,155700,0.418823,0.581177,-,0.510744,0.525556,0.000999,0.515554,0.534537,0.000999,False
emb_temp,28,B,success_ever,300,300,0,46800,0.440572,0.559428,-,0.519525,0.548828,0.021978,0.517989,0.545325,0.010989,False
emb_temp,28,rollout_max,success_ever,300,300,0,300,0.324571,0.675429,-,0.526459,0.564303,0.000999,0.533025,0.576392,0.000999,False
emb_temp,28,rollout_mean,success_ever,300,300,0,300,0.414625,0.585375,-,0.526577,0.567962,0.012987,0.524304,0.559102,0.005994,False
emb_temp,29,A,success_ever,300,300,0,155700,0.417527,0.582473,-,0.510777,0.525649,0.000999,0.515979,0.534867,0.000999,False
